#SampBsub = Samp - alpha * Bkg
#Samp : Sgi4X_00017.avg
#Bkg : Sgibuf_00016.avg
#alpha : 1.00000
#SampBsub : Sgi4X_00017_Bsub.dat
#Data Dir :  C:\Users\zuox\Box\work\matlab_codes\matlab_12IDB\bioSAXSproc\example\
#Time : 20-Sep-2022 16:18:33
# 
#  q          I(q)          I(q)_err
2.00000E-03  -7.81195E-01  3.0612E+00
2.05300E-03  -6.92900E-01  3.3494E+00
2.10800E-03  -7.97062E-01  5.0449E+00
2.16400E-03  -4.39845E-01  2.6909E+00
2.22100E-03  0.00000E+00  0.0000E+00
2.28000E-03  -3.21317E-01  1.8609E+00
2.34100E-03  -3.30401E-01  1.5419E+00
2.40300E-03  -2.06290E-01  1.9650E+00
2.46700E-03  -3.32521E-01  1.8096E+00
2.53300E-03  -2.25765E-01  1.4415E+00
2.60000E-03  -2.40568E-01  1.3159E+00
2.66900E-03  -1.59851E-01  8.3935E-01
2.74000E-03  -8.81396E-02  1.0846E+00
2.81300E-03  -1.59400E-01  9.1638E-01
2.88800E-03  -5.79340E-02  6.7681E-01
2.96500E-03  -6.97110E-02  6.0331E-01
3.04400E-03  2.34770E-02  4.7677E-01
3.12500E-03  2.42260E-03  4.2642E-01
3.20800E-03  1.28126E-01  4.8824E-01
3.29300E-03  7.58078E-02  3.5050E-01
3.38100E-03  6.02412E-02  3.1264E-01
3.47100E-03  3.83996E-02  2.6752E-01
3.56300E-03  6.99301E-02  2.9159E-01
3.65800E-03  2.12550E-02  1.9605E-01
3.75500E-03  2.94372E-02  1.8910E-01
3.85500E-03  5.16819E-02  1.8162E-01
3.95800E-03  2.94048E-02  1.3825E-01
4.06300E-03  3.34362E-02  1.3347E-01
4.17100E-03  3.94767E-02  1.1984E-01
4.28200E-03  3.77664E-02  1.0773E-01
4.39600E-03  3.28849E-02  8.9847E-02
4.51300E-03  4.60535E-02  9.4772E-02
4.63300E-03  4.02421E-02  7.2762E-02
4.75600E-03  2.63220E-02  7.4079E-02
4.88300E-03  3.66927E-02  6.4723E-02
5.01300E-03  3.97129E-02  5.3359E-02
5.14600E-03  4.93742E-02  5.3986E-02
5.28300E-03  5.40369E-02  4.8386E-02
5.42300E-03  4.62698E-02  4.0553E-02
5.56800E-03  4.18932E-02  3.8623E-02
5.71600E-03  4.99307E-02  3.2648E-02
5.86800E-03  4.06087E-02  3.1263E-02
6.02400E-03  5.42594E-02  2.6837E-02
6.18400E-03  5.00098E-02  2.5308E-02
6.34900E-03  4.65956E-02  2.1951E-02
6.51800E-03  4.91220E-02  2.0418E-02
6.69100E-03  5.07339E-02  1.7949E-02
6.86900E-03  4.99973E-02  1.7047E-02
7.05200E-03  4.44083E-02  1.4708E-02
7.23900E-03  4.86428E-02  1.4072E-02
7.43200E-03  5.07073E-02  1.2515E-02
7.63000E-03  4.97402E-02  1.1397E-02
7.83300E-03  5.07969E-02  1.0378E-02
8.04100E-03  4.99267E-02  9.1709E-03
8.25500E-03  4.94039E-02  8.8711E-03
8.47500E-03  5.21920E-02  7.8965E-03
8.70000E-03  5.10147E-02  7.2206E-03
8.93100E-03  5.08969E-02  6.6841E-03
9.16900E-03  5.08136E-02  6.2162E-03
9.41300E-03  5.06064E-02  5.7064E-03
9.66300E-03  5.13010E-02  5.1054E-03
9.92000E-03  5.05971E-02  4.9487E-03
1.01840E-02  4.94567E-02  4.4996E-03
1.04550E-02  5.22252E-02  4.1176E-03
1.07330E-02  5.12188E-02  3.6334E-03
1.10190E-02  5.02872E-02  3.3878E-03
1.13120E-02  4.95069E-02  3.1315E-03
1.16130E-02  5.03714E-02  2.8922E-03
1.19220E-02  5.04747E-02  2.6379E-03
1.22390E-02  5.03234E-02  2.4753E-03
1.25650E-02  5.01955E-02  2.3190E-03
1.28990E-02  4.93922E-02  2.1413E-03
1.32420E-02  4.96112E-02  2.0314E-03
1.35940E-02  4.92247E-02  1.9108E-03
1.39560E-02  4.85875E-02  1.7803E-03
1.43270E-02  4.86826E-02  1.6908E-03
1.47090E-02  4.81405E-02  1.5707E-03
1.51000E-02  4.85006E-02  1.5057E-03
1.55020E-02  4.80131E-02  1.4276E-03
1.59140E-02  4.86304E-02  1.3490E-03
1.63370E-02  4.77553E-02  1.2861E-03
1.67720E-02  4.79936E-02  1.2247E-03
1.72180E-02  4.77559E-02  1.1668E-03
1.76760E-02  4.69589E-02  1.1099E-03
1.81460E-02  4.68364E-02  1.0573E-03
1.86290E-02  4.62891E-02  1.0088E-03
1.91250E-02  4.57401E-02  9.6181E-04
1.96330E-02  4.58488E-02  9.2797E-04
2.01560E-02  4.50976E-02  8.8160E-04
2.06920E-02  4.47077E-02  8.4275E-04
2.12420E-02  4.45908E-02  8.0919E-04
2.18080E-02  4.42471E-02  7.7685E-04
2.23880E-02  4.31837E-02  7.4161E-04
2.29830E-02  4.28895E-02  7.1698E-04
2.35950E-02  4.27324E-02  6.8130E-04
2.42220E-02  4.22857E-02  6.5958E-04
2.48670E-02  4.19807E-02  6.3049E-04
2.55280E-02  4.12377E-02  6.0394E-04
2.62070E-02  4.02906E-02  5.7712E-04
2.69050E-02  4.02285E-02  5.5555E-04
2.76200E-02  3.93579E-02  5.3072E-04
2.83550E-02  3.86917E-02  5.1217E-04
2.91090E-02  3.82009E-02  4.8777E-04
2.98840E-02  3.72475E-02  4.7071E-04
3.06790E-02  3.72232E-02  4.5458E-04
3.14950E-02  3.60331E-02  4.3161E-04
3.23330E-02  3.54453E-02  4.1855E-04
3.31930E-02  3.45502E-02  3.9945E-04
3.40760E-02  3.36956E-02  3.8620E-04
3.49830E-02  3.30178E-02  3.6815E-04
3.59130E-02  3.18375E-02  3.5761E-04
3.68690E-02  3.11087E-02  3.5148E-04
3.78490E-02  3.03792E-02  3.4724E-04
3.88560E-02  2.95103E-02  3.3755E-04
3.98900E-02  2.84928E-02  3.2934E-04
4.09510E-02  2.76010E-02  3.1839E-04
4.20410E-02  2.66944E-02  3.0875E-04
4.31590E-02  2.54710E-02  2.9765E-04
4.43070E-02  2.47525E-02  2.8840E-04
4.54860E-02  2.38712E-02  2.7864E-04
4.66960E-02  2.27034E-02  2.6840E-04
4.79380E-02  2.16768E-02  2.5965E-04
4.92130E-02  2.08058E-02  2.5036E-04
5.05230E-02  1.95958E-02  2.4166E-04
5.18670E-02  1.86317E-02  2.3229E-04
5.32460E-02  1.74658E-02  2.2322E-04
5.46630E-02  1.63721E-02  2.1601E-04
5.61170E-02  1.53110E-02  2.0762E-04
5.76100E-02  1.43629E-02  1.9961E-04
5.91430E-02  1.33276E-02  1.9227E-04
6.07160E-02  1.22899E-02  1.8491E-04
6.23310E-02  1.12658E-02  1.7816E-04
6.39890E-02  1.03562E-02  1.7211E-04
6.56920E-02  9.44220E-03  1.6538E-04
6.74390E-02  8.44594E-03  1.5944E-04
6.92330E-02  7.66995E-03  1.5392E-04
7.10750E-02  6.63324E-03  1.4799E-04
